Program Name,CIP Code,Embed Code,Widget ID,Career Services Link - status,screenshot
Master of Accountancy,52.0301,"<!-- Accountancy -->
  <iframe onload=""initializeScripts('program-widget-e32c49', 'https://widget.lightcastcc.com')"" id=""program-widget-e32c49"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc054&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Accountancy%23%20program%20may%20pursue%20the%20following%20careers%3A""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,x,
BA in Child Development,19.0706,"<!-- Child Development -->
  <iframe onload=""initializeScripts('program-widget-43a9a7', 'https://widget.lightcastcc.com')"" id=""program-widget-43a9a7"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc055&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Child%20Development%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Marketing,52.1499,"<!-- Marketing -->
  <iframe onload=""initializeScripts('program-widget-a1a6c2', 'https://widget.lightcastcc.com')"" id=""program-widget-a1a6c2"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc056&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Marketing%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Operations Management and Analysis,52.0205,"<!-- Operations Management and Analysis -->
  <iframe onload=""initializeScripts('program-widget-9ab5d0', 'https://widget.lightcastcc.com')"" id=""program-widget-9ab5d0"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc057&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Operations%20Management%20and%20Analysis%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BS in Computer Software Technology,14.0903,"<!-- Computer Software Technology -->
  <iframe onload=""initializeScripts('program-widget-18f62f', 'https://widget.lightcastcc.com')"" id=""program-widget-18f62f"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc058&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BS%20in%20Computer%20Software%20Technology%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Doctor of Philosophy in Education,13.0401,"<!-- Philosophy in Education -->
  <iframe onload=""initializeScripts('program-widget-d85acf', 'https://widget.lightcastcc.com')"" id=""program-widget-d85acf"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc059&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Doctor%20of%20Philosophy%20in%20Education%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Doctor of Philosophy in Organizational Development and Leadership,52.0213,"<!-- Philosophy in Organizational Development and Leadership -->
  <iframe onload=""initializeScripts('program-widget-82ad76', 'https://widget.lightcastcc.com')"" id=""program-widget-82ad76"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc060&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Doctor%20of%20Philosophy%20in%20Organizational%20Development%20and%20Leadership%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Arts in Human Services,44,"<!-- Human Services -->
  <iframe onload=""initializeScripts('program-widget-4d8921', 'https://widget.lightcastcc.com')"" id=""program-widget-4d8921"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc048&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Arts%20in%20Human%20Services%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Arts in Psychology,42.0101,"<!-- Psychology -->
  <iframe onload=""initializeScripts('program-widget-51f930', 'https://widget.lightcastcc.com')"" id=""program-widget-51f930"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc047&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Arts%20in%20Psychology%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Science in Criminal Justice,0,"<!-- Science in Criminal Justice -->
  <iframe onload=""initializeScripts('program-widget-28071c', 'https://widget.lightcastcc.com')"" id=""program-widget-28071c"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc063&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Science%20in%20Criminal%20Justice%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
